"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-73,58","45,50","MCTAVISH","7024745","2019-01-01","2019","01","01","","2,3","","-11,7","","-4,7","","22,7","","0,0","","","","","M","19,7","","5","","35","","37",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-02","2019","01","02","","-9,1","","-14,9","","-12,0","","30,0","","0,0","","","","","M","0,2","","6","","","","",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-03","2019","01","03","","-3,0","","-13,8","","-8,4","","26,4","","0,0","","","","","M","2,9","","11","","","","",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-04","2019","01","04","","2,9","","-3,0","","0,0","","18,0","","0,0","","","","","M","3,7","","15","","","","",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-05","2019","01","05","","2,4","","1,0","","1,7","","16,3","","0,0","","","","","M","0,0","","11","","","","",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-06","2019","01","06","","1,6","","-12,0","","-5,2","","23,2","","0,0","","","","","M","0,9","","11","","35","","42",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-07","2019","01","07","","-9,8","","-14,3","","-12,1","","30,1","","0,0","","","","","M","4,0","","25","","","","",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-08","2019","01","08","","1,7","","-9,9","","-4,1","","22,1","","0,0","","","","","M","8,2","","32","","18","","31",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-09","2019","01","09","","0,7","","-2,9","","-1,1","","19,1","","0,0","","","","","M","1,3","","30","","","","",""
"-73,58","45,50","MCTAVISH","7024745","2019-01-10","2019","01","10","","-2,8","","-13,1","","-7,9","","25,9","","0,0","","","","","M","1,6","","35","","35","","34",""
