"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-73,58","45,50","MCTAVISH","7024745","2014-01-01","2014","01","01","","-15,2","","-23,9","","-19,6","","37,6","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-02","2014","01","02","","-22,3","","-27,4","","-24,9","","42,9","","0,0","","","M","","M","0,0","","","","3","","37",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-03","2014","01","03","","-19,0","","-23,6","","-21,3","","39,3","","0,0","","","M","","M","1,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-04","2014","01","04","","-6,6","","-21,3","","-14,0","","32,0","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-05","2014","01","05","","0,2","","-10,6","","-5,2","","23,2","","0,0","","","M","","M","8,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-06","2014","01","06","","7,3","","-11,0","","-1,9","","19,9","","0,0","","","M","","M","15,4","","","","16","","44",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-07","2014","01","07","","-11,0","","-16,8","","-13,9","","31,9","","0,0","","","M","","M","0,0","","","","21","","43",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-08","2014","01","08","","-8,6","","-14,4","","-11,5","","29,5","","0,0","","","M","","M","0,0","","","","23","","32",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-09","2014","01","09","","-7,5","","-11,3","","-9,4","","27,4","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-10","2014","01","10","","-3,1","","-10,8","","-7,0","","25,0","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-11","2014","01","11","","9,1","","-5,0","","2,1","","15,9","","0,0","","","M","","M","12,4","","","","21","","32",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-12","2014","01","12","","5,1","","0,9","","3,0","","15,0","","0,0","","","M","","M","0,0","","","","20","","37",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-13","2014","01","13","","5,6","","0,1","","2,9","","15,1","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-14","2014","01","14","","5,3","","0,3","","2,8","","15,2","","0,0","","","M","","M","5,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-15","2014","01","15","","2,4","","-2,5","","-0,1","","18,1","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-16","2014","01","16","","0,7","","-2,9","","-1,1","","19,1","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-17","2014","01","17","","0,9","","-3,8","","-1,5","","19,5","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-18","2014","01","18","","2,7","","-4,0","","-0,7","","18,7","","0,0","","","M","","M","1,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-19","2014","01","19","","-2,1","","-6,1","","-4,1","","22,1","","0,0","","","M","","M","1,0","","","","17","","33",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-20","2014","01","20","","-6,1","","-20,7","","-13,4","","31,4","","0,0","","","M","","M","1,2","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-21","2014","01","21","","-18,8","","-23,2","","-21,0","","39,0","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-22","2014","01","22","","-16,4","","-22,7","","-19,6","","37,6","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-23","2014","01","23","","-16,8","","-22,1","","-19,5","","37,5","","0,0","","","M","","M","0,0","","","","27","","32",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-24","2014","01","24","","-9,6","","-23,2","","-16,4","","34,4","","0,0","","","M","","M","0,0","","","","","","<31",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-25","2014","01","25","","-5,5","","-14,0","","-9,8","","27,8","","0,0","","","M","","M","2,2","","","","25","","32",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-26","2014","01","26","","-14,0","","-21,4","","-17,7","","35,7","","0,0","","","M","","M","0,0","","","","30","","32",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-27","2014","01","27","","-6,4","","-16,8","","-11,6","","29,6","","0,0","","","M","","M","5,4","","","","17","","37",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-28","2014","01","28","","-10,0","","-19,3","","-14,7","","32,7","","0,0","","","M","","M","0,0","","","","19","","41",""
"-73,58","45,50","MCTAVISH","7024745","2014-01-29","2014","01","29","","-9,4","","-14,0","","-11,7","","29,7","","0,0","","","M","","M","0,0","","","","20","","35",""
