station_id,external_id,name,short_name,lat,lon,rental_methods/0,rental_methods/1,capacity,electric_bike_surcharge_waiver,eightd_has_key_dispenser,eightd_station_services/0/id,eightd_station_services/0/service_type,eightd_station_services/0/bikes_availability,eightd_station_services/0/docks_availability,eightd_station_services/0/name,eightd_station_services/0/description,eightd_station_services/0/schedule_description,eightd_station_services/0/link_for_more_info,has_kiosk
25,0b100854-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / Place Jacques-Cartier,6026,45.50761009451047,-73.55183601379395,CREDITCARD,KEY,89,false,false,9ea7549c-5b8f-4bd2-a2bb-d54c5b71f6e6,ATTENDED_SERVICE,LIMITED,LIMITED,Depot Station,,Saturday and Sunday from 11:00 AM to 19:00 PM,https://www.bixi.com/en/bixi-manulife-valets-2018-schedule,true
1,0b0fda98-08f3-11e7-a1cb-3863bb33a4e4,Métro Champ-de-Mars (Viger / Sanguinet),6001,45.51035067563653,-73.55650842189789,CREDITCARD,KEY,33,false,false,,,,,,,,,true
2,0b0fdf05-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / Dezery,6002,45.539385081961676,-73.54099988937377,CREDITCARD,KEY,19,false,false,,,,,,,,,true
3,0b0fe114-08f3-11e7-a1cb-3863bb33a4e4,Clark / Evans,6003,45.51100666600306,-73.56760203838348,CREDITCARD,KEY,19,false,false,,,,,,,,,true
4,0b0fe2b5-08f3-11e7-a1cb-3863bb33a4e4,du Champ-de-Mars / Gosford,6004,45.50965520472071,-73.55400860309601,CREDITCARD,KEY,23,false,false,,,,,,,,,true
5,0b0fe458-08f3-11e7-a1cb-3863bb33a4e4,Metcalfe / du Square-Dorchester,6005,45.500208064155046,-73.57113786041737,CREDITCARD,KEY,31,false,false,,,,,,,,,true
6,0b0fe5d0-08f3-11e7-a1cb-3863bb33a4e4,18e avenue / Rosemont,6006,45.55789545752947,-73.5765291005373,CREDITCARD,KEY,31,false,false,,,,,,,,,true
7,0b0fe76d-08f3-11e7-a1cb-3863bb33a4e4,de l'Hôtel-de-Ville / Ste-Catherine,6007,45.51166045593874,-73.56213569641113,CREDITCARD,KEY,23,false,false,,,,,,,,,true
8,0b0fe8e4-08f3-11e7-a1cb-3863bb33a4e4,Sanguinet / Ste-Catherine,6008,45.51279685582333,-73.56146247242577,CREDITCARD,KEY,27,false,false,,,,,,,,,true
9,0b0fea54-08f3-11e7-a1cb-3863bb33a4e4,Crescent / de Maisonneuve,6009,45.49811161443597,-73.57761539518833,CREDITCARD,KEY,19,false,false,,,,,,,,,true
10,0b0febc1-08f3-11e7-a1cb-3863bb33a4e4,Gare d'autocars de Montréal (Berri / Ontario),6901,45.51689676614314,-73.5639488697052,CREDITCARD,KEY,15,false,false,,,,,,,,,true
11,0b0ff3ef-08f3-11e7-a1cb-3863bb33a4e4,St-André / St-Antoine,6011,45.51411452790017,-73.55264469981194,CREDITCARD,KEY,27,false,false,,,,,,,,,true
12,0b0ff5fc-08f3-11e7-a1cb-3863bb33a4e4,Métro St-Laurent (de Maisonneuve / St-Laurent),6012,45.51066,-73.56497,CREDITCARD,KEY,49,false,false,,,,,,,,,true
13,0b0ff798-08f3-11e7-a1cb-3863bb33a4e4,Sanguinet / de Maisonneuve,6013,45.51340553558378,-73.56259435415267,CREDITCARD,KEY,31,false,false,,,,,,,,,true
14,0b0ff906-08f3-11e7-a1cb-3863bb33a4e4,St-Denis / René-Lévesque,6014,45.51287121578035,-73.55846643447876,CREDITCARD,KEY,43,false,false,,,,,,,,,true
